Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),source_file,file_date
9671,370193.24834733136,2011-01-14 18:38:03,30.015092114963448,1,42,0.0,3.621882915496826,29.07022387910561,29.00950143153849,117.71772657949457,103.36934854605268,0.0006799221155233,0.1043562516570091,0,0,0,CS2_35_1_18_11_sheet2.csv,2025-04-20 22:12:08.733967
9672,370223.2635864778,2011-01-14 18:38:33,60.03033137666184,1,42,0.0,3.642280578613281,29.07022387910561,29.00950143153849,117.71772657949457,103.36934854605268,0.0004532813909463,0.1043562516570091,0,0,0,CS2_35_1_18_11_sheet2.csv,2025-04-20 22:12:08.733967
9673,370253.2785703832,2011-01-14 18:39:03,90.0453151666461,1,42,0.0,3.656688451766968,29.07022387910561,29.00950143153849,117.71772657949457,103.36934854605268,0.0003237724304199,0.1043562516570091,0,0,0,CS2_35_1_18_11_sheet2.csv,2025-04-20 22:12:08.733967
9674,370283.2469512092,2011-01-14 18:39:33,120.01369599771738,1,42,0.0,3.667534828186035,29.07022387910561,29.00950143153849,117.71772657949457,103.36934854605268,0.0002590179501567,0.1043562516570091,0,0,0,CS2_35_1_18_11_sheet2.csv,2025-04-20 22:12:08.733967
9675,370313.2668623486,2011-01-14 18:40:03,30.01525792320861,2,42,0.5499359965324402,3.7894346714019775,29.07481028139416,29.00950143153849,117.73501655591878,103.36934854605268,0.0008418083307333,0.1043562516570091,0,0,0,CS2_35_1_18_11_sheet2.csv,2025-04-20 22:12:08.733967
9676,370343.2818884642,2011-01-14 18:40:33,60.03028400860607,2,42,0.5501165986061096,3.811127424240112,29.079396699043315,29.00950143153849,117.75245094241492,103.36934854605268,0.0004532813909463,0.1043562516570091,0,0,0,CS2_35_1_18_11_sheet2.csv,2025-04-20 22:12:08.733967
9677,370373.2971125329,2011-01-14 18:41:03,90.04550809247664,2,42,0.550297200679779,3.825211524963379,29.08398314536318,29.00950143153849,117.7699646366181,103.36934854605268,0.0003237724304199,0.1043562516570091,0,0,0,CS2_35_1_18_11_sheet2.csv,2025-04-20 22:12:08.733967
9678,370403.3120599372,2011-01-14 18:41:33,120.0604554817391,2,42,0.5499359965324402,3.8357338905334473,29.08856945591413,29.00950143153849,117.78753289534788,103.36934854605268,0.0002590179501567,0.1043562516570091,0,0,0,CS2_35_1_18_11_sheet2.csv,2025-04-20 22:12:08.733967
9679,370433.3271644832,2011-01-14 18:42:03,150.07556002267188,2,42,0.5501165986061096,3.844799518585205,29.093155811672343,29.00950143153849,117.8051461945156,103.36934854605268,0.0002266406954731,0.1043562516570091,0,0,0,CS2_35_1_18_11_sheet2.csv,2025-04-20 22:12:08.733967
9680,370463.3422909186,2011-01-14 18:42:33,180.09068646318516,2,42,0.5499359965324402,3.852893829345703,29.09774219381905,29.00950143153849,117.82279880309586,103.36934854605268,0.0002266406954731,0.1043562516570091,0,0,0,CS2_35_1_18_11_sheet2.csv,2025-04-20 22:12:08.733967
