Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),source_file,Cumulative_Cycle_Index,now_capacity
1,10.000848807870137,2010-08-16 13:44:57,9.936800348946605,1,1,0.0,3.412240982055664,0.0,0.0,0.0,0.0,-3.237724376958795e-05,0.0,0,0,0,CS2_35_8_17_10_sheet2.csv,1,0.0
2,20.00127033536944,2010-08-16 13:45:07,19.937222197245443,1,1,0.0,3.412402868270874,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CS2_35_8_17_10_sheet2.csv,1,0.0
3,30.01940623252852,2010-08-16 13:45:17,29.95535811946698,1,1,0.0,3.412240982055664,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CS2_35_8_17_10_sheet2.csv,1,0.0
4,40.032178822676265,2010-08-16 13:45:27,39.968130679539776,1,1,0.0,3.412402868270874,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CS2_35_8_17_10_sheet2.csv,1,0.0
5,50.04814811498942,2010-08-16 13:45:37,49.98410000192788,1,1,0.0,3.412402868270874,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CS2_35_8_17_10_sheet2.csv,1,0.0
6,60.06315180071384,2010-08-16 13:45:47,59.99910366258984,1,1,0.0,3.412240982055664,0.0,0.0,0.0,0.0,-3.237724376958795e-05,0.0,0,0,0,CS2_35_8_17_10_sheet2.csv,1,0.0
7,70.07865374826002,2010-08-16 13:45:57,70.01460560512353,1,1,0.0,3.412240982055664,0.0,0.0,0.0,0.0,-3.237724376958795e-05,0.0,0,0,0,CS2_35_8_17_10_sheet2.csv,1,0.0
8,80.09410645307818,2010-08-16 13:46:07,80.0300583099417,1,1,0.0,3.412402868270874,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CS2_35_8_17_10_sheet2.csv,1,0.0
9,90.1096090773109,2010-08-16 13:46:17,90.0455609341744,1,1,0.0,3.412402868270874,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CS2_35_8_17_10_sheet2.csv,1,0.0
10,100.12531873252853,2010-08-16 13:46:27,100.06127058939202,1,1,0.0,3.412402868270874,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CS2_35_8_17_10_sheet2.csv,1,0.0
11,110.14270125705116,2010-08-16 13:46:37,110.07865312393967,1,1,0.0,3.412402868270874,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CS2_35_8_17_10_sheet2.csv,1,0.0
12,120.07806032387928,2010-08-16 13:46:47,120.01401218575528,1,1,0.0,3.412402868270874,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CS2_35_8_17_10_sheet2.csv,1,0.0
13,130.09404496075177,2010-08-16 13:46:57,10.01547714573244,2,1,0.550297200679779,3.52232313156128,0.001530534015584,0.0,0.005372331309186,0.0,0.0018455028766766,0.0,0,0,0,CS2_35_8_17_10_sheet2.csv,1,0.001530534015584
14,140.10965158418242,2010-08-16 13:47:07,20.0310837992381,2,1,0.5501165986061096,3.5430445671081543,0.003061081968233,0.0,0.010779732287854,0.0,0.0015541076427325,0.0,0,0,0,CS2_35_8_17_10_sheet2.csv,1,0.003061081968233
15,150.12502397383048,2010-08-16 13:47:17,30.046456163823684,2,1,0.5501165986061096,3.56101393699646,0.004591660530156,0.0,0.01621683714062,0.0,0.0013598442310467,0.0,0,0,0,CS2_35_8_17_10_sheet2.csv,1,0.004591660530156
16,160.14050603180573,2010-08-16 13:47:27,40.06193824184892,2,1,0.5501165986061096,3.577526330947876,0.0061222003129,0.0,0.021680034084034,0.0,0.0012950897216796,0.0,0,0,0,CS2_35_8_17_10_sheet2.csv,1,0.0061222003129
